epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2134.47,1.11342,0.93731,1.1043,0.68987,0.56711,0.61488,0.42966,1.067,0.8291,1.11759,0.0099977,0.00333257,0.0099977,0.00333257,0.0099977,0.00333257,0.0099977,0.00333257
2,4013.63,1.25192,1.06912,1.18217,0.6683,0.52296,0.58122,0.39523,1.15127,0.95983,1.18761,0.0190078,0.00633594,0.0190078,0.00633594,0.0190078,0.00633594,0.0190078,0.00633594
3,5799.61,1.33513,1.18225,1.23742,0.63698,0.50896,0.56326,0.38733,1.17566,0.99834,1.2125,0.0270279,0.00900931,0.0270279,0.00900931,0.0270279,0.00900931,0.0270279,0.00900931
4,7560.27,1.32975,1.17085,1.23994,0.66353,0.54983,0.60481,0.41882,1.1228,0.92394,1.18076,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,9319.61,1.26722,1.07705,1.20438,0.69565,0.5682,0.63371,0.44556,1.07622,0.86377,1.14873,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,11080.7,1.21616,1.01393,1.1759,0.69039,0.60048,0.65438,0.46194,1.0537,0.82641,1.13659,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,12841.1,1.1876,0.96781,1.15781,0.69735,0.5999,0.66214,0.47367,1.02931,0.79215,1.12232,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,14592.4,1.16281,0.93172,1.14213,0.71137,0.59025,0.66449,0.4751,1.02425,0.78003,1.11515,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,16343.1,1.13468,0.8989,1.12728,0.72935,0.59027,0.6686,0.48059,1.01227,0.76434,1.1069,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,18093.9,1.12193,0.87459,1.11816,0.73179,0.60491,0.67753,0.48655,1.00351,0.75073,1.10298,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,19833.3,1.06339,0.7678,1.06778,0.71266,0.6097,0.68213,0.49039,1.00112,0.74611,1.10248,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,21573.2,1.04238,0.73781,1.05589,0.7257,0.60881,0.68295,0.48958,1.00134,0.74357,1.10347,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,23318.2,1.02029,0.70916,1.0446,0.71784,0.61962,0.68344,0.49018,1.00081,0.74006,1.105,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,25067.7,1.00124,0.67938,1.0301,0.73541,0.60762,0.68305,0.48919,1.0006,0.73811,1.10478,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,26818.2,0.97848,0.65325,1.01976,0.74214,0.60443,0.684,0.48875,0.99931,0.73619,1.10433,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,28570.1,0.95439,0.62666,1.00777,0.7398,0.60539,0.68305,0.488,0.99931,0.73373,1.10421,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,30321.9,0.93413,0.59918,0.9957,0.74645,0.60042,0.68024,0.48625,0.99929,0.73243,1.10411,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,32072.3,0.91381,0.57711,0.98538,0.73958,0.60316,0.67904,0.48608,0.99964,0.732,1.10437,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,33822.5,0.89054,0.551,0.97436,0.74557,0.59667,0.67874,0.48496,0.99939,0.73025,1.10404,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,35573.4,0.87297,0.53383,0.96593,0.75913,0.59272,0.67688,0.48549,1.00005,0.72889,1.10425,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
